# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  2.416463105E-09;  0.4849930951
145.0000000;  2.211462061E-07;  46.98303058
148.3333333;  3.312861816E-06;  775.9353288
151.6666667;  2.169505057E-05;  5766.600480
155.0000000;  8.149251721E-05;  25345.93230
158.3333333;  0.0001765191326;  69599.93262
161.6666667;  0.0002415950592;  132745.7227
165.0000000;  0.0002396514120;  197993.0386
168.3333333;  0.0001778536440;  248391.4916
171.6666667;  9.945904462E-05;  277702.4404
175.0000000;  4.501620337E-05;  291489.0695
178.3333333;  1.750627725E-05;  297056.7141
181.6666667;  5.899962063E-06;  299003.9201
185.0000000;  2.105814019E-06;  299724.6544
188.3333333;  5.537363734E-07;  299921.0668
191.6666667;  1.840194200E-07;  299988.6700
195.0000000;  2.979533420E-08;  300000.0000
198.3333333;  0.000000000;  300000.0000
201.6666667;  0.000000000;  300000.0000
205.0000000;  0.000000000;  300000.0000
208.3333333;  0.000000000;  300000.0000
211.6666667;  0.000000000;  300000.0000
215.0000000;  0.000000000;  300000.0000
218.3333333;  0.000000000;  300000.0000
221.6666667;  0.000000000;  300000.0000
225.0000000;  0.000000000;  300000.0000
228.3333333;  0.000000000;  300000.0000
231.6666667;  0.000000000;  300000.0000
235.0000000;  0.000000000;  300000.0000
238.3333333;  0.000000000;  300000.0000
241.6666667;  0.000000000;  300000.0000
245.0000000;  0.000000000;  300000.0000
248.3333333;  0.000000000;  300000.0000
251.6666667;  0.000000000;  300000.0000
255.0000000;  0.000000000;  300000.0000
258.3333333;  0.000000000;  300000.0000
261.6666667;  0.000000000;  300000.0000
265.0000000;  0.000000000;  300000.0000
268.3333333;  0.000000000;  300000.0000
271.6666667;  0.000000000;  300000.0000
275.0000000;  0.000000000;  300000.0000
278.3333333;  0.000000000;  300000.0000
281.6666667;  0.000000000;  300000.0000
285.0000000;  0.000000000;  300000.0000
288.3333333;  0.000000000;  300000.0000
291.6666667;  0.000000000;  300000.0000
295.0000000;  0.000000000;  300000.0000
298.3333333;  0.000000000;  300000.0000
301.6666667;  0.000000000;  300000.0000
305.0000000;  0.000000000;  300000.0000
308.3333333;  0.000000000;  300000.0000
311.6666667;  0.000000000;  300000.0000
315.0000000;  0.000000000;  300000.0000
318.3333333;  0.000000000;  300000.0000
321.6666667;  0.000000000;  300000.0000
325.0000000;  0.000000000;  300000.0000
328.3333333;  0.000000000;  300000.0000
331.6666667;  0.000000000;  300000.0000
335.0000000;  0.000000000;  300000.0000
338.3333333;  0.000000000;  300000.0000
341.6666667;  0.000000000;  300000.0000
345.0000000;  0.000000000;  300000.0000
348.3333333;  0.000000000;  300000.0000
351.6666667;  0.000000000;  300000.0000
355.0000000;  0.000000000;  300000.0000
358.3333333;  0.000000000;  300000.0000
361.6666667;  0.000000000;  300000.0000
365.0000000;  0.000000000;  300000.0000
368.3333333;  0.000000000;  300000.0000
371.6666667;  0.000000000;  300000.0000
375.0000000;  0.000000000;  300000.0000
378.3333333;  0.000000000;  300000.0000
381.6666667;  0.000000000;  300000.0000
385.0000000;  0.000000000;  300000.0000
388.3333333;  0.000000000;  300000.0000
391.6666667;  0.000000000;  300000.0000
395.0000000;  0.000000000;  300000.0000
398.3333333;  0.000000000;  300000.0000
401.6666667;  0.000000000;  300000.0000
405.0000000;  0.000000000;  300000.0000
408.3333333;  0.000000000;  300000.0000
411.6666667;  0.000000000;  300000.0000
415.0000000;  0.000000000;  300000.0000
418.3333333;  0.000000000;  300000.0000
421.6666667;  0.000000000;  300000.0000
425.0000000;  0.000000000;  300000.0000
428.3333333;  0.000000000;  300000.0000
431.6666667;  0.000000000;  300000.0000
435.0000000;  0.000000000;  300000.0000
438.3333333;  0.000000000;  300000.0000
441.6666667;  0.000000000;  300000.0000
445.0000000;  0.000000000;  300000.0000
448.3333333;  0.000000000;  300000.0000
451.6666667;  0.000000000;  300000.0000
455.0000000;  0.000000000;  300000.0000
458.3333333;  0.000000000;  300000.0000
461.6666667;  0.000000000;  300000.0000
465.0000000;  0.000000000;  300000.0000
468.3333333;  0.000000000;  300000.0000
471.6666667;  0.000000000;  300000.0000
475.0000000;  0.000000000;  300000.0000
478.3333333;  0.000000000;  300000.0000
481.6666667;  0.000000000;  300000.0000
485.0000000;  0.000000000;  300000.0000
488.3333333;  0.000000000;  300000.0000
491.6666667;  0.000000000;  300000.0000
495.0000000;  0.000000000;  300000.0000
498.3333333;  0.000000000;  300000.0000
501.6666667;  0.000000000;  300000.0000
505.0000000;  0.000000000;  300000.0000
508.3333333;  0.000000000;  300000.0000
511.6666667;  0.000000000;  300000.0000
515.0000000;  0.000000000;  300000.0000
518.3333333;  0.000000000;  300000.0000
521.6666667;  0.000000000;  300000.0000
525.0000000;  0.000000000;  300000.0000
528.3333333;  0.000000000;  300000.0000
531.6666667;  0.000000000;  300000.0000
535.0000000;  0.000000000;  300000.0000
538.3333333;  0.000000000;  300000.0000
541.6666667;  0.000000000;  300000.0000
545.0000000;  0.000000000;  300000.0000
548.3333333;  0.000000000;  300000.0000
551.6666667;  0.000000000;  300000.0000
555.0000000;  0.000000000;  300000.0000
558.3333333;  0.000000000;  300000.0000
561.6666667;  0.000000000;  300000.0000
565.0000000;  0.000000000;  300000.0000
568.3333333;  0.000000000;  300000.0000
571.6666667;  0.000000000;  300000.0000
575.0000000;  0.000000000;  300000.0000
578.3333333;  0.000000000;  300000.0000
581.6666667;  0.000000000;  300000.0000
585.0000000;  0.000000000;  300000.0000
588.3333333;  0.000000000;  300000.0000
591.6666667;  0.000000000;  300000.0000
595.0000000;  0.000000000;  300000.0000
598.3333333;  0.000000000;  300000.0000
601.6666667;  0.000000000;  300000.0000
605.0000000;  0.000000000;  300000.0000
608.3333333;  0.000000000;  300000.0000
611.6666667;  0.000000000;  300000.0000
615.0000000;  0.000000000;  300000.0000
618.3333333;  0.000000000;  300000.0000
621.6666667;  0.000000000;  300000.0000
625.0000000;  0.000000000;  300000.0000
628.3333333;  0.000000000;  300000.0000
631.6666667;  0.000000000;  300000.0000
635.0000000;  0.000000000;  300000.0000
638.3333333;  0.000000000;  300000.0000
641.6666667;  0.000000000;  300000.0000
645.0000000;  0.000000000;  300000.0000
648.3333333;  0.000000000;  300000.0000
651.6666667;  0.000000000;  300000.0000
655.0000000;  0.000000000;  300000.0000
658.3333333;  0.000000000;  300000.0000
661.6666667;  0.000000000;  300000.0000
665.0000000;  0.000000000;  300000.0000
668.3333333;  0.000000000;  300000.0000
671.6666667;  0.000000000;  300000.0000
675.0000000;  0.000000000;  300000.0000
678.3333333;  0.000000000;  300000.0000
681.6666667;  0.000000000;  300000.0000
685.0000000;  0.000000000;  300000.0000
688.3333333;  0.000000000;  300000.0000
691.6666667;  0.000000000;  300000.0000
695.0000000;  0.000000000;  300000.0000
698.3333333;  0.000000000;  300000.0000
