1;    167.181;    178.273;    173.506;    155.482
2;    165.063;    171.944;    173.259;    156.237
3;    165.527;    164.553;    167.585;    161.166
4;    165.965;    158.632;    160.128;    168.206
5;    164.663;    157.002;    154.382;    173.862
6;    160.680;    158.378;    153.672;    175.049
7;    156.940;    162.407;    158.042;    171.027
8;    155.327;    167.635;    165.003;    164.983
9;    156.784;    173.363;    170.038;    159.141
10;    161.228;    177.660;    172.455;    155.696
11;    165.891;    179.192;    172.973;    156.622
12;    169.162;    177.266;    173.072;    161.159
13;    169.106;    173.721;    174.089;    166.813
14;    167.025;    170.060;    173.542;    171.725
15;    163.955;    168.133;    171.269;    173.670
16;    161.928;    168.178;    167.668;    171.936
17;    160.858;    168.999;    165.157;    167.844
18;    159.332;    169.079;    164.910;    164.289
19;    157.671;    166.208;    168.093;    160.640
20;    157.858;    162.018;    172.256;    158.607
21;    160.416;    157.707;    173.210;    158.309
22;    164.318;    156.051;    169.505;    161.816
23;    168.180;    157.389;    162.287;    167.197
24;    169.818;    161.330;    156.898;    173.572
25;    168.735;    164.325;    156.267;    177.573
26;    166.146;    165.263;    160.333;    177.276
27;    164.369;    164.530;    165.450;    173.307
28;    166.144;    164.319;    169.845;    168.642
29;    170.780;    164.033;    167.785;    164.192
30;    175.202;    164.183;    160.638;    160.079
31;    178.515;    163.896;    151.920;    157.502
32;    178.791;    162.458;    149.401;    156.930
33;    175.034;    160.237;    154.638;    157.928
34;    168.759;    159.574;    162.315;    158.566
35;    162.314;    162.828;    168.999;    158.888
36;    158.908;    167.056;    171.490;    158.663
37;    160.525;    170.453;    171.632;    160.957
38;    166.742;    171.208;    167.203;    164.195
39;    174.288;    169.310;    161.562;    166.639
40;    180.452;    165.356;    157.173;    167.967
41;    182.093;    161.892;    156.194;    167.924
42;    179.386;    160.741;    158.522;    167.189
43;    171.655;    161.543;    161.280;    165.393
44;    162.328;    163.083;    164.437;    164.504
45;    154.113;    162.324;    166.760;    165.238
46;    153.003;    160.171;    166.184;    166.213
47;    158.109;    157.886;    161.278;    167.092
48;    165.741;    158.159;    154.366;    167.052
49;    169.886;    161.130;    149.640;    166.000
50;    169.848;    164.735;    152.901;    165.774
51;    166.687;    167.169;    161.383;    166.903
52;    162.488;    166.614;    169.788;    167.990
53;    160.030;    163.682;    175.659;    168.314
54;    160.051;    162.286;    177.068;    167.680
55;    162.007;    162.957;    173.339;    165.811
56;    163.946;    166.624;    164.770;    163.040
57;    165.471;    171.603;    156.432;    159.418
58;    165.358;    174.992;    153.409;    156.072
59;    164.427;    173.884;    156.771;    154.471
60;    162.651;    168.208;    162.826;    157.573
61;    162.147;    161.872;    169.198;    164.432
62;    162.608;    159.114;    173.475;    170.257
63;    163.484;    161.779;    173.531;    171.799
64;    164.558;    168.544;    169.864;    168.938
65;    166.176;    176.280;    164.603;    165.739
66;    167.447;    181.350;    161.263;    164.171
67;    166.282;    180.320;    161.012;    164.187
68;    162.391;    174.355;    162.682;    166.650
69;    158.153;    164.976;    165.121;    171.516
70;    156.840;    157.515;    166.952;    174.598
71;    158.564;    153.929;    166.718;    173.706
72;    161.189;    157.138;    163.623;    168.580
73;    164.080;    163.922;    160.812;    164.553
74;    165.904;    169.171;    159.517;    161.481
75;    166.872;    169.687;    161.548;    160.345
76;    165.397;    165.568;    165.333;    161.268
77;    161.980;    160.858;    169.498;    165.833
78;    157.202;    157.603;    173.057;    169.358
79;    154.013;    157.675;    174.575;    171.093
80;    153.729;    159.694;    173.377;    169.815
81;    157.098;    163.139;    168.370;    169.185
82;    162.524;    166.437;    161.953;    167.801
83;    166.850;    167.377;    158.011;    165.009
84;    168.422;    166.248;    159.905;    160.059
85;    164.840;    166.742;    164.610;    157.057
86;    158.469;    170.289;    169.237;    156.083
87;    151.870;    173.525;    171.040;    157.773
88;    149.782;    174.818;    170.831;    161.035
89;    154.818;    173.982;    168.289;    163.385
90;    163.375;    171.800;    165.644;    165.134
91;    171.543;    168.143;    163.690;    164.681
92;    175.118;    165.098;    164.037;    162.316
93;    173.958;    166.084;    166.750;    158.937
94;    168.281;    170.740;    169.915;    159.164
95;    160.927;    173.749;    170.321;    161.879
96;    155.727;    172.704;    167.072;    164.447
97;    156.631;    168.348;    163.139;    165.788
98;    162.227;    161.469;    160.721;    164.783
99;    169.788;    154.500;    160.206;    162.857
100;    174.898;    151.604;    161.114;    158.597
101;    176.998;    156.305;    162.482;    156.224
102;    174.997;    165.033;    163.918;    158.973
103;    171.517;    171.371;    164.290;    167.469
104;    168.101;    173.490;    165.571;    175.255
105;    167.026;    171.224;    168.647;    179.740
106;    167.428;    166.181;    173.716;    180.442
107;    169.413;    160.224;    178.083;    178.693
108;    170.837;    157.146;    179.125;    172.299
109;    171.014;    158.889;    176.668;    163.023
110;    168.691;    163.176;    171.877;    154.972
111;    164.943;    165.319;    165.625;    154.822
112;    160.694;    163.855;    160.122;    159.011
113;    157.686;    160.937;    157.766;    163.750
114;    157.136;    158.756;    158.367;    166.014
115;    158.928;    158.597;    160.310;    168.519
116;    163.178;    159.438;    162.418;    169.548
117;    168.720;    161.124;    165.371;    167.983
118;    173.317;    161.844;    168.831;    164.706
119;    174.897;    162.100;    171.911;    162.372
120;    172.735;    163.041;    173.533;    161.905
121;    167.762;    165.034;    172.688;    160.513
122;    161.841;    166.260;    169.175;    159.282
123;    157.775;    164.096;    162.818;    159.509
124;    159.024;    160.383;    156.004;    161.016
125;    164.010;    155.292;    152.491;    160.612
126;    169.231;    152.136;    155.003;    157.610
127;    171.528;    152.774;    160.197;    154.227
128;    170.294;    158.946;    163.962;    154.498
129;    166.119;    167.515;    166.682;    160.410
130;    161.709;    174.348;    168.954;    168.620
131;    158.830;    176.059;    170.522;    174.934
132;    160.949;    173.478;    170.089;    179.484
133;    165.506;    169.235;    167.498;    180.806
134;    170.215;    166.673;    163.969;    178.380
135;    171.959;    165.033;    160.699;    170.640
136;    171.703;    164.792;    158.991;    162.572
137;    168.541;    163.305;    159.573;    157.293
138;    162.625;    161.056;    162.788;    157.961
139;    154.760;    157.206;    167.286;    161.529
140;    150.282;    156.078;    170.227;    164.971
141;    152.789;    158.752;    169.488;    167.240
142;    161.153;    163.999;    166.388;    168.009
143;    170.508;    168.076;    165.305;    167.634
144;    175.875;    168.779;    167.413;    166.293
145;    176.439;    166.795;    172.308;    166.566
146;    171.139;    163.918;    178.934;    166.927
147;    161.223;    162.218;    186.659;    166.958
148;    151.585;    161.584;    192.393;    164.021
149;    149.636;    160.410;    191.907;    159.611
150;    156.715;    158.937;    185.163;    156.438
151;    166.681;    158.194;    174.084;    155.373
152;    174.402;    159.872;    162.168;    158.488
153;    177.109;    163.398;    153.093;    162.888
154;    173.659;    168.879;    153.357;    164.768
155;    165.280;    172.810;    162.587;    165.833
156;    156.930;    173.978;    173.821;    166.986
157;    153.392;    171.856;    179.317;    168.622
158;    156.251;    168.552;    177.994;    168.798
159;    162.554;    166.056;    171.347;    167.042
160;    167.911;    165.784;    162.034;    165.436
161;    169.525;    168.514;    153.199;    160.633
162;    167.801;    171.608;    151.255;    156.283
163;    163.078;    171.887;    157.599;    154.569
164;    156.570;    168.115;    166.464;    157.979
165;    153.610;    163.727;    173.596;    162.233
166;    155.310;    161.185;    176.612;    164.743
167;    161.078;    162.096;    175.682;    165.044
168;    165.979;    165.454;    171.108;    162.383
169;    169.315;    170.387;    165.868;    159.419
170;    169.849;    175.264;    161.720;    156.147
171;    167.856;    176.714;    161.510;    156.451
172;    162.861;    173.824;    163.130;    158.643
173;    157.110;    167.951;    166.287;    161.968
174;    154.682;    162.562;    169.976;    164.196
175;    155.705;    157.927;    173.638;    163.829
176;    159.668;    154.984;    175.729;    161.910
177;    162.941;    154.534;    175.284;    158.591
178;    165.757;    158.525;    171.881;    158.903
179;    167.868;    164.862;    165.712;    162.738
180;    169.121;    170.595;    159.678;    168.017
181;    169.138;    172.320;    157.092;    170.716
182;    168.047;    170.845;    160.997;    170.721
183;    167.019;    167.131;    167.992;    168.105
184;    166.762;    161.937;    174.006;    164.153
185;    166.209;    156.408;    175.067;    161.091
186;    166.169;    154.226;    169.675;    160.428
187;    167.361;    158.596;    159.825;    162.142
188;    169.831;    165.471;    149.540;    162.529
189;    170.428;    169.041;    146.423;    161.587
190;    169.512;    168.263;    152.335;    158.685
191;    167.761;    167.261;    163.614;    159.665
192;    166.679;    166.625;    170.320;    163.143
193;    167.067;    165.790;    172.206;    168.124
194;    169.144;    164.699;    168.673;    171.836
195;    172.917;    165.369;    163.348;    173.190
196;    176.643;    167.932;    158.093;    170.297
197;    178.542;    170.236;    156.936;    162.978
198;    176.449;    170.980;    159.502;    155.169
199;    171.033;    170.877;    162.797;    151.375
200;    163.044;    169.854;    166.436;    153.137
201;    157.075;    166.671;    169.079;    156.592
202;    154.963;    161.153;    170.620;    158.186
203;    157.558;    157.724;    169.487;    159.855
204;    161.846;    158.779;    167.420;    159.796
205;    166.218;    163.394;    164.109;    160.021
206;    167.877;    167.395;    162.570;    160.309
207;    167.685;    171.151;    161.081;    162.278
208;    165.651;    173.860;    160.808;    164.970
209;    164.182;    174.047;    162.925;    165.052
210;    163.490;    170.692;    167.991;    163.938
211;    162.643;    164.814;    171.137;    163.094
212;    161.856;    159.685;    171.924;    165.414
213;    161.665;    155.854;    169.441;    166.335
214;    163.042;    155.315;    165.323;    165.734
215;    164.071;    159.238;    158.906;    163.390
216;    165.990;    166.278;    154.415;    160.304
217;    165.288;    172.847;    154.542;    157.950
218;    161.810;    176.229;    159.583;    157.003
219;    156.169;    176.373;    167.232;    159.693
220;    154.353;    174.341;    172.707;    164.808
221;    158.494;    170.091;    175.375;    168.482
222;    165.820;    164.976;    175.071;    169.645
223;    172.305;    161.812;    172.691;    166.508
224;    174.310;    164.075;    167.466;    163.018
225;    172.125;    170.090;    161.045;    161.264
226;    165.698;    174.559;    155.531;    161.541
227;    158.158;    175.166;    153.844;    161.870
228;    154.348;    171.720;    157.287;    160.444
229;    157.905;    165.833;    163.112;    156.943
230;    166.297;    158.275;    167.992;    154.696
231;    173.700;    152.547;    168.518;    153.952
232;    178.104;    153.547;    166.303;    157.049
233;    179.439;    161.569;    161.588;    161.139
234;    178.308;    169.914;    158.191;    166.040
235;    174.813;    174.442;    157.774;    167.763
236;    169.918;    174.510;    162.902;    165.692
237;    166.961;    171.769;    171.632;    160.640
238;    165.563;    165.701;    179.260;    155.689
239;    164.506;    158.179;    183.166;    153.920
240;    162.885;    152.224;    180.944;    156.852
241;    162.371;    153.248;    174.322;    162.046
242;    163.259;    159.061;    166.366;    166.384
243;    165.419;    164.220;    159.062;    167.673
244;    168.013;    167.915;    156.473;    166.419
245;    168.188;    168.915;    160.112;    164.923
246;    166.815;    168.174;    169.120;    165.381
247;    163.738;    164.390;    177.114;    169.150
248;    160.904;    159.015;    180.802;    174.013
249;    160.053;    154.863;    179.452;    177.951
250;    161.771;    153.865;    174.961;    178.676
251;    165.181;    157.417;    167.599;    175.582
252;    167.292;    161.959;    159.437;    170.469
253;    166.960;    166.252;    153.200;    166.238
254;    161.981;    168.851;    152.849;    163.850
255;    154.526;    168.688;    161.202;    161.916
256;    150.101;    164.698;    171.074;    160.247
257;    153.974;    156.755;    177.721;    157.903
258;    163.699;    151.221;    180.876;    156.015
259;    171.836;    153.237;    181.200;    155.404
260;    174.409;    161.083;    177.886;    157.501
261;    172.207;    170.624;    173.385;    162.152
262;    166.256;    178.330;    169.007;    167.312
263;    160.345;    184.344;    167.155;    169.481
264;    157.621;    185.216;    166.812;    166.496
265;    160.796;    179.322;    167.319;    159.538
266;    166.925;    169.719;    167.093;    154.147
267;    170.666;    159.699;    166.524;    154.601
268;    169.611;    153.670;    165.042;    160.440
269;    164.437;    153.344;    161.953;    166.117
270;    158.790;    160.498;    158.857;    169.054
271;    156.451;    170.700;    157.117;    168.366
272;    159.279;    179.092;    158.556;    165.333
273;    165.728;    182.370;    162.075;    161.324
274;    172.590;    181.186;    165.076;    158.407
275;    177.005;    177.117;    166.834;    158.834
276;    178.120;    171.785;    167.771;    162.707
277;    175.638;    165.684;    168.479;    166.521
278;    169.492;    160.872;    167.992;    169.187
279;    160.316;    159.067;    165.831;    168.740
280;    151.219;    160.092;    163.773;    166.666
281;    149.371;    161.758;    161.449;    161.043
282;    155.251;    163.030;    159.261;    154.208
283;    163.597;    163.112;    158.683;    148.425
284;    167.949;    163.483;    160.608;    150.292
285;    167.807;    165.046;    164.846;    158.448
286;    164.371;    167.573;    170.100;    169.426
287;    160.182;    169.978;    174.040;    177.500
288;    159.261;    170.242;    175.883;    180.536
289;    163.097;    167.633;    176.129;    178.771
290;    169.321;    164.664;    175.067;    176.244
291;    173.094;    161.931;    171.904;    173.229
292;    172.794;    160.520;    166.288;    170.177
293;    169.120;    161.670;    160.833;    165.869
294;    163.976;    164.676;    157.575;    163.276
295;    158.993;    165.757;    158.027;    161.043
296;    156.985;    162.477;    160.507;    160.205
297;    156.942;    158.331;    165.404;    160.499
298;    159.836;    157.449;    170.081;    162.963
299;    162.354;    160.829;    171.592;    165.691
300;    164.598;    166.856;    169.421;    169.037
301;    167.423;    172.225;    165.140;    171.238
302;    171.304;    176.658;    162.397;    172.122
303;    174.012;    176.713;    161.279;    169.915
304;    173.993;    172.895;    163.017;    165.576
305;    171.352;    165.892;    166.278;    161.190
306;    167.319;    159.086;    169.607;    160.272
307;    162.115;    155.351;    170.560;    162.753
308;    158.087;    154.334;    165.392;    167.495
309;    155.906;    156.055;    158.045;    171.688
310;    157.416;    158.106;    152.548;    174.455
311;    161.571;    159.985;    154.431;    173.845
312;    166.507;    160.013;    160.423;    171.102
313;    170.855;    159.620;    167.700;    166.367
314;    172.671;    161.106;    173.437;    163.101
315;    171.383;    163.820;    176.740;    162.746
