r,g,n
0.025,0.0,0.0
0.07500000000000001,0.0,0.0
0.125,0.0,0.0
0.17500000000000002,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.32500000000000007,0.0,0.0
0.375,0.0,0.0
0.42500000000000004,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.5750000000000001,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.7250000000000001,0.0,0.0
0.775,0.0,0.0
0.8250000000000001,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.9750000000000001,0.0,0.0
1.025,0.0,0.0
1.0750000000000002,0.0,0.0
1.125,0.0,0.0
1.1750000000000003,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.3250000000000002,0.0,0.0
1.375,0.0,0.0
1.4250000000000003,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.5750000000000002,0.0,0.0
1.625,0.004688634859770187,0.00026634705020641894
1.6750000000000003,0.015445129870539457,0.0011985617259288855
1.725,0.02912547279514877,0.0030629910773738184
1.775,0.05108575077819432,0.006525502730057265
1.8250000000000002,0.08363921023773753,0.01251831135970169
1.875,0.13910658669509282,0.023039019842855238
1.9250000000000003,0.16037361267690908,0.03582367825276336
1.975,0.2475788524334666,0.05659874816886404
2.0250000000000004,0.2566386212490424,0.07923824743640964
2.075,0.3091187901541401,0.10787055533359967
2.125,0.32353202897417677,0.1392995072579571
2.175,0.40304667347198747,0.18031695298974565
2.225,0.3701304605244664,0.21973631642029565
2.2750000000000004,0.3540397751255039,0.2591556798508457
2.325,0.4603660468017502,0.3126914369423359
2.375,0.45984338373294564,0.3684911439605807
2.4250000000000003,0.5231859227557089,0.4346783859368758
2.475,0.5335887483509506,0.5049940071913703
2.5250000000000004,0.6019938738931478,0.5875615927553602
2.575,0.8010432556513297,0.701824477293914
2.625,0.9388167340246191,0.840990811026768
2.6750000000000003,1.1333051703254886,1.0154481289119723
2.725,1.2663329512314458,1.2177387135437476
2.7750000000000004,1.543470740299316,1.4734318817419099
2.825,1.7732193788809378,1.777866560127847
2.875,2.04610607167748,2.141696630709815
2.9250000000000003,2.0802199416418654,2.524570515381542
2.975,2.178049849155972,2.9392728725529365
3.0250000000000004,2.208795835409375,3.3740844320149153
3.075,2.0825554610590546,3.797709415368225
3.125,1.9619311252616762,4.209881475562659
3.1750000000000003,1.860094297035788,4.6132640831002805
3.225,1.708822295329033,4.995605273671595
3.2750000000000004,1.5387238437510176,5.350645891596752
3.325,1.4244819641232938,5.689439339459317
3.375,1.2298726585833533,5.99081102676788
3.4250000000000003,1.160979834342903,6.283792781994941
3.475,1.071932805050676,6.562258622985752
3.5250000000000004,1.0412408322138147,6.84059129045146
3.575,1.0341152299183214,7.1249167665468125
3.625,0.9746924813924517,7.400452789985353
3.6750000000000003,0.957059535515772,7.678519110400854
3.725,0.9052168720159323,7.948728192835267
3.7750000000000004,0.8401284753829036,8.206285790384873
3.825,0.7798042600431677,8.45172459715009
3.875,0.7717658862204863,8.701025436143297
3.9250000000000003,0.7317349027645215,8.94353442535624
3.975,0.7263711908510114,9.19043814089759
4.025,0.7351846748116562,9.446664003196167
4.075,0.7418583639247391,9.711679318151555
4.125,0.741809630377901,9.983220135836998
4.175000000000001,0.7667659695216785,10.270741776534827
4.225,0.7990099642685291,10.577573578372622
4.275,0.7970266374404232,10.890930882940474
4.325,0.8045182169271962,11.214675722466376
4.375,0.8237510428343098,11.55386869090425
4.425000000000001,0.8004980870657141,11.891064056465577
4.475,0.8411348161849121,12.25342921827141
4.525,0.8631615627822778,12.633639632441072
4.575,0.861847642080827,13.021707284591827
4.625,0.8632824784336615,13.418963909974702
4.675000000000001,0.882020186848286,13.833666267146095
4.725,0.9111441278294343,14.271274470635241
4.775,0.9160548397967844,14.72060194433347
4.825000000000001,0.9889052673726204,15.215874284192306
4.875,1.0010235425609353,15.727660141163941
4.925000000000001,1.0553249148168926,16.278332667465712
4.975,1.0874931057856658,16.857371154614466
5.025,1.1279848021325722,17.470102543614335
5.075000000000001,1.1082715281217865,18.084165667865236
5.125,1.1713637946956497,18.746038087628186
5.175000000000001,1.1527677208683085,19.410174457317893
