r_A,g_OH,n_OH,g_H2O
3.625000000000000000e+00,1.114680407481557500e+00,1.480515974201290064e+01,1.110295105401297500e+00
3.675000000000000266e+00,1.098774451451294709e+00,1.548127593620318976e+01,1.124041824127283595e+00
3.725000000000000089e+00,1.066311693574286457e+00,1.615539223038848249e+01,1.137870003550280007e+00
3.775000000000000355e+00,1.046414570493342966e+00,1.683480825958702098e+01,1.140762891130606249e+00
3.825000000000000178e+00,1.047587832829214971e+00,1.753312334383280913e+01,1.141630011806975320e+00
3.875000000000000000e+00,1.029278246612959524e+00,1.823728813559322148e+01,1.133351762547815778e+00
3.925000000000000266e+00,1.021812995885409858e+00,1.895450227488625572e+01,1.118495787061091873e+00
3.975000000000000089e+00,1.018631770703067208e+00,1.968781560921954110e+01,1.103441623066091282e+00
4.025000000000000355e+00,1.002896618885230406e+00,2.042807859607019694e+01,1.084457498956108656e+00
4.075000000000000178e+00,1.013923643500636462e+00,2.119519024048797817e+01,1.063108624875070962e+00
4.125000000000000000e+00,9.983279774666599105e-01,2.196915154242288182e+01,1.045904493466942142e+00
4.175000000000000711e+00,1.012773417269126730e+00,2.277346132693365988e+01,1.034322131308209824e+00
4.224999999999999645e+00,9.938007940424378184e-01,2.358172091395431025e+01,1.020364190758559664e+00
4.275000000000000355e+00,9.974700761448835884e-01,2.441227938603070413e+01,1.010984854353402351e+00
4.325000000000000178e+00,9.907906593004435214e-01,2.525668716564172200e+01,1.005359097162929816e+00
4.375000000000000000e+00,9.952766095621108366e-01,2.612464376781161235e+01,9.963659099988388945e-01
4.425000000000000711e+00,9.723511240303731595e-01,2.699210039498025537e+01,9.922464928505863035e-01
4.474999999999999645e+00,9.634023162877085600e-01,2.787110644467776766e+01,9.896758136271448514e-01
4.525000000000000355e+00,9.505898887216754911e-01,2.875791210439478363e+01,9.876533066221224733e-01
4.575000000000000178e+00,9.322323651950172874e-01,2.964691765411729918e+01,9.847617572282766352e-01
4.625000000000000000e+00,9.337314070966551416e-01,3.055692215389230881e+01,9.809613087670369103e-01
4.675000000000000711e+00,9.193381984496731274e-01,3.147237638118094694e+01,9.782302240345132072e-01
4.724999999999999645e+00,9.120757934450782756e-01,3.240012999350032885e+01,9.761909594072035734e-01
4.775000000000000355e+00,9.164652462357499862e-01,3.335218239088045777e+01,9.723228328935368259e-01
4.825000000000001066e+00,9.343358825500853726e-01,3.434323283835808382e+01,9.702174899859352664e-01
4.875000000000000000e+00,9.305058459210144850e-01,3.535078246087695675e+01,9.656255959586153015e-01
4.925000000000000711e+00,9.358219922171165939e-01,3.638498075096245543e+01,9.598638295310331081e-01
4.974999999999999645e+00,9.355501200622295954e-01,3.743997800109995211e+01,9.588223753664382176e-01
5.025000000000000355e+00,9.321485075168561840e-01,3.851237438128094226e+01,9.514832308545302375e-01
5.075000000000001066e+00,9.514932627634398177e-01,3.962891855407230679e+01,9.472904922399929539e-01
5.125000000000000000e+00,9.507325809951817641e-01,4.076666166691666859e+01,9.341493633216132464e-01
