# Distance / pm;  g(r);  O-O
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.0001647526290;  0.0001647526290
231.6666667;  0.008268060767;  0.008268060767
235.0000000;  0.02323219502;  0.02323219502
238.3333333;  0.06453099667;  0.06453099667
241.6666667;  0.1589869971;  0.1589869971
245.0000000;  0.3854665511;  0.3854665511
248.3333333;  0.7474521872;  0.7474521872
251.6666667;  1.156685803;  1.156685803
255.0000000;  1.528242482;  1.528242482
258.3333333;  1.892557968;  1.892557968
261.6666667;  2.080651447;  2.080651447
265.0000000;  2.035869068;  2.035869068
268.3333333;  1.928819115;  1.928819115
271.6666667;  1.656313975;  1.656313975
275.0000000;  1.425563997;  1.425563997
278.3333333;  1.193773488;  1.193773488
281.6666667;  0.9374268153;  0.9374268153
285.0000000;  0.7833773293;  0.7833773293
288.3333333;  0.6774935829;  0.6774935829
291.6666667;  0.5610298963;  0.5610298963
295.0000000;  0.5101736924;  0.5101736924
298.3333333;  0.5082887893;  0.5082887893
301.6666667;  0.5351736940;  0.5351736940
305.0000000;  0.5798986727;  0.5798986727
308.3333333;  0.5458043737;  0.5458043737
311.6666667;  0.5727728038;  0.5727728038
315.0000000;  0.5815607366;  0.5815607366
318.3333333;  0.5831901875;  0.5831901875
321.6666667;  0.6097752037;  0.6097752037
325.0000000;  0.6554488674;  0.6554488674
328.3333333;  0.7007121634;  0.7007121634
331.6666667;  0.7420074562;  0.7420074562
335.0000000;  0.7670939144;  0.7670939144
338.3333333;  0.8053988950;  0.8053988950
341.6666667;  0.7890374640;  0.7890374640
345.0000000;  0.7886458818;  0.7886458818
348.3333333;  0.8047735858;  0.8047735858
351.6666667;  0.8084629118;  0.8084629118
355.0000000;  0.8022997722;  0.8022997722
358.3333333;  0.8122212847;  0.8122212847
361.6666667;  0.8276883263;  0.8276883263
365.0000000;  0.8226020530;  0.8226020530
368.3333333;  0.8083278602;  0.8083278602
371.6666667;  0.8608806207;  0.8608806207
375.0000000;  0.8512533631;  0.8512533631
378.3333333;  0.8246173732;  0.8246173732
381.6666667;  0.8364888318;  0.8364888318
385.0000000;  0.8975064575;  0.8975064575
388.3333333;  0.9213388806;  0.9213388806
391.6666667;  0.9519221732;  0.9519221732
395.0000000;  0.9827082572;  0.9827082572
398.3333333;  0.9730411917;  0.9730411917
401.6666667;  0.9832600943;  0.9832600943
405.0000000;  1.018565115;  1.018565115
408.3333333;  1.025995650;  1.025995650
411.6666667;  1.044605554;  1.044605554
415.0000000;  1.012427320;  1.012427320
418.3333333;  1.040708864;  1.040708864
421.6666667;  1.040911491;  1.040911491
425.0000000;  1.069464474;  1.069464474
428.3333333;  1.063625135;  1.063625135
431.6666667;  1.064184695;  1.064184695
435.0000000;  1.063122827;  1.063122827
438.3333333;  1.050177651;  1.050177651
441.6666667;  1.076409779;  1.076409779
445.0000000;  1.011127109;  1.011127109
448.3333333;  0.9942400616;  0.9942400616
451.6666667;  0.9896226555;  0.9896226555
455.0000000;  1.026435229;  1.026435229
458.3333333;  1.044177458;  1.044177458
461.6666667;  1.016046071;  1.016046071
465.0000000;  1.031458581;  1.031458581
468.3333333;  1.035006683;  1.035006683
471.6666667;  1.050632348;  1.050632348
475.0000000;  1.035604756;  1.035604756
478.3333333;  1.076474853;  1.076474853
481.6666667;  1.084435931;  1.084435931
485.0000000;  1.088125854;  1.088125854
488.3333333;  1.115646038;  1.115646038
491.6666667;  1.116831956;  1.116831956
495.0000000;  1.147823782;  1.147823782
498.3333333;  1.172174598;  1.172174598
501.6666667;  1.193858054;  1.193858054
505.0000000;  1.224745270;  1.224745270
508.3333333;  1.193831979;  1.193831979
511.6666667;  1.171040130;  1.171040130
515.0000000;  1.173923334;  1.173923334
518.3333333;  1.164718356;  1.164718356
521.6666667;  1.106671751;  1.106671751
525.0000000;  1.080822077;  1.080822077
528.3333333;  1.060314255;  1.060314255
531.6666667;  0.9988434374;  0.9988434374
535.0000000;  0.9664543029;  0.9664543029
538.3333333;  0.9681901837;  0.9681901837
541.6666667;  0.9256191958;  0.9256191958
545.0000000;  0.9268393461;  0.9268393461
548.3333333;  0.9264051983;  0.9264051983
551.6666667;  0.9105425238;  0.9105425238
555.0000000;  0.9183511158;  0.9183511158
558.3333333;  0.9059979210;  0.9059979210
561.6666667;  0.9040143414;  0.9040143414
565.0000000;  0.9181268188;  0.9181268188
568.3333333;  0.9359876543;  0.9359876543
571.6666667;  0.9357622695;  0.9357622695
575.0000000;  0.9446760569;  0.9446760569
578.3333333;  0.9485138417;  0.9485138417
581.6666667;  0.9372839333;  0.9372839333
585.0000000;  0.9591515430;  0.9591515430
588.3333333;  0.9555878733;  0.9555878733
591.6666667;  0.9615067932;  0.9615067932
595.0000000;  0.9579438012;  0.9579438012
598.3333333;  0.9561802035;  0.9561802035
601.6666667;  0.9703584313;  0.9703584313
605.0000000;  0.9732538367;  0.9732538367
608.3333333;  0.9691866743;  0.9691866743
611.6666667;  0.9895863968;  0.9895863968
615.0000000;  0.9918724207;  0.9918724207
618.3333333;  0.9694061150;  0.9694061150
621.6666667;  0.9898566116;  0.9898566116
625.0000000;  1.008126902;  1.008126902
628.3333333;  1.013540425;  1.013540425
631.6666667;  1.039584430;  1.039584430
635.0000000;  1.031887491;  1.031887491
638.3333333;  1.060839070;  1.060839070
641.6666667;  1.070090649;  1.070090649
645.0000000;  1.083463157;  1.083463157
648.3333333;  1.111833411;  1.111833411
651.6666667;  1.092429972;  1.092429972
655.0000000;  1.088839311;  1.088839311
658.3333333;  1.080737209;  1.080737209
661.6666667;  1.090606208;  1.090606208
665.0000000;  1.086840953;  1.086840953
668.3333333;  1.064942670;  1.064942670
671.6666667;  1.063887974;  1.063887974
675.0000000;  1.062553065;  1.062553065
678.3333333;  1.068238200;  1.068238200
681.6666667;  1.089491034;  1.089491034
685.0000000;  1.081903880;  1.081903880
688.3333333;  1.085565443;  1.085565443
691.6666667;  1.069160552;  1.069160552
695.0000000;  1.064474193;  1.064474193
698.3333333;  1.048151116;  1.048151116
