# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.0001647526290;  1.242234082E-05
231.6666667;  0.008268060767;  0.0006541680782
235.0000000;  0.02323219502;  0.002509655400
238.3333333;  0.06453099667;  0.007810801416
241.6666667;  0.1589869971;  0.02123927769
245.0000000;  0.3854665511;  0.05470115532
248.3333333;  0.7474521872;  0.1213641338
251.6666667;  1.156685803;  0.2273133843
255.0000000;  1.528242482;  0.3710288655
258.3333333;  1.892557968;  0.5536877716
261.6666667;  2.080651447;  0.7597160106
265.0000000;  2.035869068;  0.9664786457
268.3333333;  1.928819115;  1.167328295
271.6666667;  1.656313975;  1.344113356
275.0000000;  1.425563997;  1.500026298
278.3333333;  1.193773488;  1.633772760
281.6666667;  0.9374268153;  1.741329613
285.0000000;  0.7833773293;  1.833351347
288.3333333;  0.6774935829;  1.914807607
291.6666667;  0.5610298963;  1.983829851
295.0000000;  0.5101736924;  2.048038192
298.3333333;  0.5082887893;  2.113463135
301.6666667;  0.5351736940;  2.183896521
305.0000000;  0.5798986727;  2.261912014
308.3333333;  0.5458043737;  2.336954452
311.6666667;  0.5727728038;  2.417416667
315.0000000;  0.5815607366;  2.500870248
318.3333333;  0.5831901875;  2.586338171
321.6666667;  0.6097752037;  2.677583471
325.0000000;  0.6554488674;  2.777706525
328.3333333;  0.7007121634;  2.886950647
331.6666667;  0.7420074562;  3.004993668
335.0000000;  0.7670939144;  3.129492844
338.3333333;  0.8053988950;  3.262823144
341.6666667;  0.7890374640;  3.396031366
345.0000000;  0.7886458818;  3.531784026
348.3333333;  0.8047735858;  3.673002606
351.6666667;  0.8084629118;  3.817596683
355.0000000;  0.8022997722;  3.963821574
358.3333333;  0.8122212847;  4.114647729
361.6666667;  0.8276883263;  4.271218832
365.0000000;  0.8226020530;  4.429709347
368.3333333;  0.8083278602;  4.588307198
371.6666667;  0.8608806207;  4.760287144
375.0000000;  0.8512533631;  4.933407835
378.3333333;  0.8246173732;  5.104106154
381.6666667;  0.8364888318;  5.280326525
385.0000000;  0.8975064575;  5.472718297
388.3333333;  0.9213388806;  5.673653554
391.6666667;  0.9519221732;  5.884838049
395.0000000;  0.9827082572;  6.106579106
398.3333333;  0.9730411917;  6.329860123
401.6666667;  0.9832600943;  6.559277987
405.0000000;  1.018565115;  6.800894179
408.3333333;  1.025995650;  7.048295686
411.6666667;  1.044605554;  7.304313892
415.0000000;  1.012427320;  7.556480237
418.3333333;  1.040708864;  7.819871421
421.6666667;  1.040911491;  8.087528877
425.0000000;  1.069464474;  8.366893359
428.3333333;  1.063625135;  8.649107824
431.6666667;  1.064184695;  8.935882591
435.0000000;  1.063122827;  9.226812803
438.3333333;  1.050177651;  9.518621748
441.6666667;  1.076409779;  9.822286010
445.0000000;  1.011127109;  10.11185533
448.3333333;  0.9942400616;  10.40087012
451.6666667;  0.9896226555;  10.69283621
455.0000000;  1.026435229;  11.00014928
458.3333333;  1.044177458;  11.31737168
461.6666667;  1.016046071;  11.63055388
465.0000000;  1.031458581;  11.95309441
468.3333333;  1.035006683;  12.28140120
471.6666667;  1.050632348;  12.61942532
475.0000000;  1.035604756;  12.95734056
478.3333333;  1.076474853;  13.31353873
481.6666667;  1.084435931;  13.67738971
485.0000000;  1.088125854;  14.04754935
488.3333333;  1.115646038;  14.43230552
491.6666667;  1.116831956;  14.82274683
495.0000000;  1.147823782;  15.22948226
498.3333333;  1.172174598;  15.65045942
501.6666667;  1.193858054;  16.08497918
505.0000000;  1.224745270;  16.53668412
508.3333333;  1.193831979;  16.98281952
511.6666667;  1.171040130;  17.42619564
515.0000000;  1.173923334;  17.87647336
518.3333333;  1.164718356;  18.32902217
521.6666667;  1.106671751;  18.76456535
525.0000000;  1.080822077;  19.19538848
528.3333333;  1.060314255;  19.62342104
531.6666667;  0.9988434374;  20.03174273
535.0000000;  0.9664543029;  20.43179343
538.3333333;  0.9681901837;  20.83757222
541.6666667;  0.9256191958;  21.23032809
545.0000000;  0.9268393461;  21.62845686
548.3333333;  0.9264051983;  22.03128181
551.6666667;  0.9105425238;  22.43203758
555.0000000;  0.9183511158;  22.84112937
558.3333333;  0.9059979210;  23.24958073
561.6666667;  0.9040143414;  23.66201870
565.0000000;  0.9181268188;  24.08588176
568.3333333;  0.9359876543;  24.52310412
571.6666667;  0.9357622695;  24.96536369
575.0000000;  0.9446760569;  25.41705793
578.3333333;  0.9485138417;  25.87586073
581.6666667;  0.9372839333;  26.33447278
585.0000000;  0.9591515430;  26.80917895
588.3333333;  0.9555878733;  27.28752638
591.6666667;  0.9615067932;  27.77430607
595.0000000;  0.9579438012;  28.26476183
598.3333333;  0.9561802035;  28.75981518
601.6666667;  0.9703584313;  29.26782246
605.0000000;  0.9732538367;  29.78300688
608.3333333;  0.9691866743;  30.30170716
611.6666667;  0.9895863968;  30.83714513
615.0000000;  0.9918724207;  31.37968524
618.3333333;  0.9694061150;  31.91570014
621.6666667;  0.9898566116;  32.46893971
625.0000000;  1.008126902;  33.03844925
628.3333333;  1.013540425;  33.61714066
631.6666667;  1.039584430;  34.21701659
635.0000000;  1.031887491;  34.81875195
638.3333333;  1.060839070;  35.44388187
641.6666667;  1.070090649;  36.08106643
645.0000000;  1.083463157;  36.73293386
648.3333333;  1.111833411;  37.40880222
651.6666667;  1.092429972;  38.07972156
655.0000000;  1.088839311;  38.75529423
658.3333333;  1.080737209;  39.43268217
661.6666667;  1.090606208;  40.12319561
665.0000000;  1.086840953;  40.81827584
668.3333333;  1.064942670;  41.50619612
671.6666667;  1.063887974;  42.20030744
675.0000000;  1.062553065;  42.90044567
678.3333333;  1.068238200;  43.61129906
681.6666667;  1.089491034;  44.34343779
685.0000000;  1.081903880;  45.07760574
688.3333333;  1.085565443;  45.82144518
691.6666667;  1.069160552;  46.56115638
695.0000000;  1.064474193;  47.30474087
698.3333333;  1.048151116;  48.04396309
