r,g,n
0.025,0.0,0.0
0.07500000000000001,0.0,0.0
0.125,0.0,0.0
0.17500000000000002,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.32500000000000007,0.0,0.0
0.375,0.0,0.0
0.42500000000000004,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.5750000000000001,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.7250000000000001,0.0,0.0
0.775,0.0,0.0
0.8250000000000001,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.9750000000000001,0.0,0.0
1.025,0.0,0.0
1.0750000000000002,0.0,0.0
1.125,0.0,0.0
1.1750000000000003,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.3250000000000002,0.0,0.0
1.375,0.0,0.0
1.4250000000000003,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.5750000000000002,0.07662459216514497,0.008469848354212101
1.625,0.21292812970117916,0.03352436983313892
1.6750000000000003,0.4020285104730115,0.08378556575543947
1.725,0.6001468982515491,0.1633615661611807
1.775,0.832335812235683,0.28021504285641835
1.8250000000000002,1.039210446251977,0.43444743115078366
1.875,1.042476199917118,0.5977582796571487
1.9250000000000003,1.079327172085608,0.7759801186793123
1.975,0.9906457935597304,0.9481665567784145
2.0250000000000004,1.0039481291642742,1.1316123142465893
2.075,0.9913063467821013,1.3218035198052442
2.125,1.0563616181487292,1.534361211137597
2.175,1.1144558011979444,1.7692853882436477
2.225,1.172757216399635,2.0279961454582343
2.2750000000000004,1.3269523409659945,2.334026474615814
2.325,1.3618739660954071,2.662068265963382
2.375,1.3729347520286264,3.0071511893290053
2.4250000000000003,1.3110961060340627,3.35071258305016
2.475,1.2436072337657473,3.6901658467312473
2.5250000000000004,1.1177218990893611,4.007709083531978
2.575,1.012768921873709,4.306943246944262
2.625,0.8957644239052053,4.581985089009484
2.6750000000000003,0.8592505686772808,4.855961860323579
2.725,0.8283142793096916,5.130040066947305
2.7750000000000004,0.8421884693807502,5.419029264086829
2.825,0.8397378292743864,5.717654815641325
2.875,0.8960204665979725,6.047674595526702
2.9250000000000003,0.9305694677236392,6.402444590962114
2.975,0.989958041345755,6.792869097732921
3.0250000000000004,1.0531533726637563,7.222295481056955
3.075,1.0918871320134627,7.6823553278896375
3.125,1.157809032668197,8.18618451082822
3.1750000000000003,1.208569033229557,8.729066287974844
3.225,1.23222998782567,9.300147081198967
3.2750000000000004,1.242751206457137,9.894101536744943
3.325,1.2818398089290535,10.525587056854492
3.375,1.2294520324150968,11.149617081706143
3.4250000000000003,1.229232419127393,11.792159050565504
3.475,1.2018421993677646,12.438859867119746
3.5250000000000004,1.1747675784215124,13.089313790130346
3.575,1.1313610264177485,13.733630876908254
3.625,1.1107601964685831,14.384034082264039
3.6750000000000003,1.0951520440760762,15.043110006593299
3.725,1.062422116078393,15.700005071765485
3.7750000000000004,1.0388576672336072,16.35968960795253
3.825,1.0415152799337195,17.038697570624336
3.875,1.0265598769664246,17.725566769792568
3.9250000000000003,1.016752040018682,18.42354313536542
3.975,1.0140250079486957,19.137495562205203
4.025,0.996294903512532,19.856722625145814
4.075,1.009488487401883,20.60369224527058
4.125,0.9966695356222125,21.359385302023632
4.175000000000001,1.0101600179141588,22.143987422021606
4.225,0.9934699197692046,22.934219201704114
4.275,0.9976448944677861,23.746665314195873
4.325,0.9888886929493294,24.57092864025968
4.375,0.9946602520225803,25.41928285236091
4.425000000000001,0.9716115122741859,26.267028452604354
4.475,0.9631500330356003,27.126489831110213
4.525,0.9499871191458186,27.993254551909523
4.575,0.9311847254054924,28.861743672972565
4.625,0.9344656026211487,29.752447126844856
4.675000000000001,0.9218226878755663,30.650200334736525
4.725,0.9151107314466753,31.560582238677284
4.775,0.919658144601997,32.49495359334585
4.825000000000001,0.9370706349900683,33.46705888319725
4.875,0.9305907530867323,34.45255363391997
4.925000000000001,0.9394769237892965,35.467971800983925
4.975,0.9381625806638129,36.502662676877826
5.025,0.936533956956807,37.5564233909824
5.075000000000001,0.9533917781158574,38.65060607597505
5.125,0.9517798730366807,39.7645686463458
