r,g,n
0.025,0.0,0.0
0.07500000000000001,0.0,0.0
0.125,0.0,0.0
0.17500000000000002,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.32500000000000007,0.0,0.0
0.375,0.0,0.0
0.42500000000000004,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.5750000000000001,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.7250000000000001,0.0,0.0
0.775,0.0,0.0
0.8250000000000001,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.9750000000000001,0.0,0.0
1.025,0.0,0.0
1.0750000000000002,0.0,0.0
1.125,0.0,0.0
1.1750000000000003,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.3250000000000002,0.0,0.0
1.375,0.0,0.0
1.4250000000000003,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.5750000000000002,0.06423618504862452,0.0035502358370948926
1.625,0.2301692738065378,0.017091849672871126
1.6750000000000003,0.41135914189670403,0.04280570066440127
1.725,0.6211845524286269,0.08398843637470202
1.775,0.807770345555116,0.14069077445858902
1.8250000000000002,0.907643191465061,0.20804382005376068
1.875,1.042476199917118,0.2896992443069432
1.9250000000000003,1.0228114635871013,0.374144139574986
1.975,1.0825613826529012,0.46822538925800067
2.0250000000000004,1.1985203267158793,0.5777248060049702
2.075,1.275745181218779,0.7001065070751128
2.125,1.5224109218845918,0.8532738246183497
2.175,1.677939282719012,1.030126286960491
2.225,1.8084509437756378,1.2295988233504083
2.2750000000000004,1.6691362724447958,1.4220723233757673
2.325,1.4044062080792152,1.591215702185931
2.375,1.1001234961875472,1.7294720292133694
2.4250000000000003,0.8705802014970792,1.8435360348937468
2.475,0.6833986860586312,1.9368058020997112
2.5250000000000004,0.6294661262081277,2.0262210275396866
2.575,0.5832862366994684,2.112390323071461
2.625,0.5966256867316249,2.2039864076685096
2.6750000000000003,0.6168407451555895,2.3023279403560384
2.725,0.6814739611049017,2.415073287011209
2.7750000000000004,0.77715461074131,2.5484100015215305
2.825,0.7955260889423451,2.6898615408023536
2.875,0.8925779413689962,2.854237460059847
2.9250000000000003,0.9424094509441402,3.0338793934168486
2.975,0.9958736129100451,3.230258152863012
3.0250000000000004,1.0398443599231137,3.442257949992393
3.075,1.163507994492573,3.687376375716387
3.125,1.198368479353171,3.948115839123599
3.1750000000000003,1.217150054018556,4.221483998579906
3.225,1.2302601707936218,4.506567936298626
3.2750000000000004,1.2271518189283863,4.7998174164426635
3.325,1.2148188695978501,5.0990515798549465
3.375,1.1866850078805014,5.400213014150225
3.4250000000000003,1.1949819617943778,5.712532332504944
3.475,1.189871847291872,6.032662169701272
3.5250000000000004,1.2027055208323163,6.365623573565957
3.575,1.1591463412982852,6.695694071106151
3.625,1.1495640461268741,7.0322564284627465
3.6750000000000003,1.1174848868371505,7.368514479890449
3.725,1.1211539131068156,7.715118932900542
3.7750000000000004,1.1446842536166724,8.078561647309428
3.825,1.1379806927749065,8.449510574631029
3.875,1.140487329900083,8.831059491809098
3.9250000000000003,1.0984645640893593,9.208094537708575
3.975,1.0741735397123642,9.586245372013996
4.025,1.0529911863652655,9.966323477202414
4.075,1.0510250180486471,10.355175736673937
4.125,1.0046964043654787,10.736065324339403
4.175000000000001,0.9943579025725152,11.122229548105697
4.225,0.9602501117851372,11.504133488867476
4.275,0.9382931506368479,11.886189582593701
4.325,0.9355865458275221,12.27610691281635
4.375,0.9231246339689446,12.669777349495359
4.425000000000001,0.90052082250384,13.062636303697317
4.475,0.8800551818436938,13.455292387280013
4.525,0.8763895213840243,13.855099660191714
4.575,0.9011675583636896,14.275346147994117
4.625,0.8896631861875417,14.699345742252877
4.675000000000001,0.90250195926126,15.13881422123041
4.725,0.9296913258307282,15.601257797839427
4.775,0.9253988321463291,16.071359740325608
4.825000000000001,0.9258748727209221,16.551605213774916
4.875,0.9470177320537824,17.05305066693716
4.925000000000001,0.9537889192818162,17.568494192828524
4.975,0.9692032032778061,18.102956839275752
5.025,0.9625425286064233,18.644469239742353
5.075000000000001,0.9764598465397231,19.204797890145556
5.125,0.9875734523085937,19.78272556676979
