r,g,n
0.025,0.0,0.0
0.07500000000000001,0.0,0.0
0.125,0.0,0.0
0.17500000000000002,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.32500000000000007,0.0,0.0
0.375,0.0,0.0
0.42500000000000004,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.5750000000000001,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.7250000000000001,0.0,0.0
0.775,0.0,0.0
0.8250000000000001,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.9750000000000001,0.0,0.0
1.025,0.0,0.0
1.0750000000000002,0.0,0.0
1.125,0.0,0.0
1.1750000000000003,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.3250000000000002,0.0,0.0
1.375,0.0,0.0
1.4250000000000003,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.5750000000000002,2.6702124013991018,0.2849913437208683
1.625,4.785924033110419,0.8287388467172727
1.6750000000000003,4.727312963947255,1.3993874017845251
1.725,4.27832391451596,1.947130110534026
1.775,3.9787940509939808,2.4864828872020244
1.8250000000000002,3.1708553925684497,2.940870954854175
1.875,2.407072202685973,3.3049673724863498
1.9250000000000003,1.8451318250171467,3.5991476894393393
1.975,1.3378780294962331,3.8236782527633504
2.0250000000000004,1.025044846047646,4.004527899853509
2.075,0.7835801889953785,4.149687042216008
2.125,0.589486323978373,4.2642162738047675
2.175,0.4207126802637791,4.349846850446132
2.225,0.3419955437616269,4.422692768677587
2.2750000000000004,0.24101018475604402,4.476361699294181
2.325,0.23590896925661825,4.531229191636703
2.375,0.19260743161129346,4.577973098947929
2.4250000000000003,0.18527308330986875,4.624850179784259
2.475,0.16775706861033673,4.669063790118525
2.5250000000000004,0.15923708922334878,4.712744706352377
2.575,0.1778540095589491,4.763483819416701
2.625,0.19944240665403393,4.822612864562525
2.6750000000000003,0.24526108075364583,4.8981222532960444
2.725,0.3067877064207848,4.996137967772007
2.7750000000000004,0.39913188674927624,5.1283792781994935
2.825,0.5344480105201077,5.311892395791717
2.875,0.6549486675263383,5.54481289119723
2.9250000000000003,0.8566888385752934,5.860167798641631
2.975,1.0823802638307214,6.272339858836064
3.0250000000000004,1.3442197013655215,6.801571447596219
3.075,1.5444037512223545,7.429884139033161
3.125,1.6627287048663577,8.128512451724598
3.1750000000000003,1.7111762161407142,8.870688507124784
3.225,1.6734078311799292,9.619523238780133
3.2750000000000004,1.521986037498662,10.32188041017446
3.325,1.4079637966934049,10.991610067918499
3.375,1.3070454016318889,11.632174723664939
3.4250000000000003,1.2034611419177228,12.239579171660678
3.475,1.1490853096705358,12.836596084698366
3.5250000000000004,1.119209344291069,13.434944732987086
3.575,1.129776943224583,14.056199227593558
3.625,1.1077763992239489,14.682514316153952
3.6750000000000003,1.0810464149971017,15.310693834065793
3.725,1.0540043667509316,15.939938740178459
3.7750000000000004,1.0514637924841355,16.584631775203096
3.825,1.0448869344419982,17.242375815687847
3.875,1.0500468548096038,17.920761752563596
3.9250000000000003,1.0393368072490032,18.609668397922498
3.975,1.0521412260142347,19.324943401251836
4.025,1.0410658245968591,20.050605939539224
4.075,1.011387809712471,20.77320548674924
4.125,0.9786502725436753,21.489679051804508
4.175000000000001,0.9629856073913994,22.211879078439214
4.225,0.9318314991274036,22.92755360234386
4.275,0.9208316676080708,23.651618058330012
4.325,0.8958580062615877,24.372619523238786
4.375,0.9012101613104846,25.114795578638972
4.425000000000001,0.8939211458050185,25.867891863097622
4.475,0.8726657795259122,26.619789585830343
4.525,0.8646732292670103,27.3815421494207
4.575,0.8809242285304542,28.17485683846052
4.625,0.8891838467943094,28.99320815021974
4.675000000000001,0.9002893911038141,29.839792249300842
4.725,0.9259786411705404,30.729258223465177
4.775,0.9330238461652784,31.644559861499538
4.825000000000001,0.9478227549205983,32.59395392196031
4.875,0.9562210316786868,33.57171394326808
4.925000000000001,0.9525998173044865,34.56585430816354
4.975,0.992074839949136,35.622319882807304
5.025,1.019868893038796,36.73032361166601
5.075000000000001,1.0211432633323378,37.861899054467976
5.125,1.0297159796831576,39.025569316819826
5.175000000000001,1.0250548342070411,40.20668531096018
